ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_fum_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_fum_e_ (pFBA),FVA~max~R_EX_fum_e_ (pFBA),SOLUTION
sol_0#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.07271264431919962,0.24640619643535588,-1.15,0.015579866190826842,0.14284417184658313,0.24632648394917556,0.24649677703488138,YAL038W YER081W YLR377C YIL074C YPL262W YOR347C 
sol_1#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.060990493344346954,0.7886658897895729,-1.15,0.041827062349673406,0.4571976172693176,0.7884853331308815,0.7888673335462074,YOR375C YAL062W YHR104W YER081W YKR080W YIL074C YPL262W 
sol_2#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.06402250444520498,0.11833890425360497,-1.15,0.006588133064014879,0.06860226333542317,0.11805192017683404,0.6604491444818481,YOR375C YHR208W YAL062W YNL037C YER081W YKR080W YIL074C YPL262W 
sol_3#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.064022504446143,0.1183389046742954,-1.15,0.006588133087531975,0.06860226357930169,0.1180519214565118,0.6604491440160629,YOR375C YHR208W YAL062W YER081W YKR080W YOR136W YIL074C YPL262W 
sol_4#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],6.0,0.0646961636426616,0.7621478951259184,-1.15,0.04287656081997958,0.44182486673966287,0.7620744186073262,0.7622285407580256,YOR375C YAL062W YJL121C YER081W YIL074C YPL262W 
sol_5#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.06082184968450613,0.7912063586949688,-1.15,0.04184576888519203,0.4586703528666486,0.791025776764996,0.7914077501845186,YOR375C YAL062W YLR303W YER081W YKR080W YIL074C YJR159W YPL262W 
sol_6#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],12.0,0.05670984329841813,0.9033015481444285,-1.15,0.04454442543172961,0.5236530713880746,0.9024175374123536,0.9035285157104661,YLR134W YGR087C YLR044C YFR053C YER073W YKR080W YBR006W YGL253W YBL015W YDL215C YPL262W YOR374W 
sol_7#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],9.0,0.06939441239015817,0.11274375964308511,-1.15,0.006803293000947061,0.06535870124236819,0.11252825419548496,0.5956395967506904,YNL037C YER081W YKR080W YBL015W YIL074C YLR142W YDL215C YPL262W YOR374W 
sol_8#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],9.0,0.06939441229830921,0.11274373111992178,-1.15,0.006803291270770059,0.06535868470720103,0.11252824937745497,0.5956396020294545,YER081W YKR080W YBL015W YOR136W YIL074C YLR142W YDL215C YPL262W YOR374W 
sol_9#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.06320045587814521,0.030648403672927527,-1.15,0.001684341812231687,0.017767190535030453,0.03045383389001272,0.7173922960847803,YNL037C YHR104W YKR080W YBL015W YLR142W YDL215C YPL262W YOR374W 
sol_10#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],8.0,0.06320045475302895,0.030648057316849945,-1.15,0.0016843227475841851,0.01776698974889852,0.030453493625694973,0.717392411506611,YHR104W YKR080W YBL015W YOR136W YLR142W YDL215C YPL262W YOR374W 
sol_11#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],10.0,0.09019336466662965,0.1409525431583541,-1.15,0.01105476880501764,0.08171161922223426,0.14066961493053198,0.14099571522015847,YKL029C YHR208W YPL061W YER081W YDR035W YBL015W YIL074C YEL046C YPL262W YOR374W 
sol_12#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],11.0,0.0800186906409202,0.42175925246380264,-1.15,0.029346628824214595,0.2444981173703204,0.4215936087044154,0.4217969330506876,YKL029C YPL061W YNL277W YGR043C YLR377C YLR354C YBL015W YLR142W YGR244C YPL262W YOR374W 
sol_13#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],11.0,0.08001869057663867,0.42175925281786375,-1.15,0.02934662882527562,0.24449811757557322,0.42159360577932975,0.4217969329208564,YKL029C YPL061W YNL277W YOR142W YGR043C YLR377C YLR354C YBL015W YLR142W YPL262W YOR374W 
sol_14#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#fumarate#SPEA2GK_K20#PFBA#BPCY],7.0,0.054480004517353846,0.8271538622423243,-1.15,0.0391855183926161,0.47950948535786925,0.8269095729974295,0.8274196026704124,YPL061W YER081W YBR006W YIL074C YLR174W YNL241C YPL262W 
