ID,#knockouts (pFBA),R_biomass_SC5_notrace (pFBA),R_EX_mal_L_e_ (pFBA),R_EX_glc_e_ (pFBA),BPCY (pFBA),CYIELD (pFBA),FVA~min~R_EX_mal_L_e_ (pFBA),FVA~max~R_EX_mal_L_e_ (pFBA),SOLUTION
sol_0#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.05705289608137357,0.8120376126610774,-1.15,0.04028617176462534,0.4707464421223638,0.0,0.8121839364757761,YLR134W YKL029C YGR087C YKL106W YKL085W YNL104C YLR044C YER081W YIL074C YLR142W YOL126C YNL241C 
sol_1#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.05721101393679843,0.8083981026037549,-1.15,0.040216760969169416,0.4686365812195681,0.0,0.8085452776867896,YLR134W YKL029C YGR087C YKL106W YKL085W YNL277W YNL104C YLR044C YJL121C YER081W YIL074C YLR142W YOL126C 
sol_2#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.05913865294233745,0.7785428027994477,-1.15,0.04003649792653148,0.45132916104315807,0.0,0.7786900280043483,YLR134W YKL029C YGR087C YKL106W YKL085W YNL104C YLR044C YJL121C YLR142W YOL126C 
sol_3#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.0623712806990287,0.7224933086573806,-1.15,0.039185072136903885,0.4188367006709453,0.0,0.722645555390045,YLR134W YKL029C YGR087C YKL085W YNL104C YLR044C YAL012W YKR080W YLR142W YOL126C YJR159W YDL215C 
sol_4#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.07456444818391599,0.4554118760619912,-1.15,0.02952829150866462,0.2640068846736181,0.0,0.4556097970344126,YLR134W YKL029C YGR087C YKL085W YFR055W YNL277W YNL104C YLR044C YGR043C YLR377C YLR354C YLR142W YOL126C 
sol_5#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],10.0,0.0753615690258446,0.447241107365221,-1.15,0.02930851442078198,0.25927020716824406,0.0,0.4474389284150675,YLR134W YKL029C YGR087C YKL085W YFR055W YLR044C YGR043C YLR377C YLR354C YOL126C 
sol_6#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],11.0,0.0426189155323334,0.3702083607906754,-1.15,0.013719894659044697,0.21461354248734807,0.0,0.37031050596851856,YLR134W YKL029C YKL060C YGR087C YKL085W YNL104C YLR044C YGR043C YLR354C YLR142W YOL126C 
sol_7#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],12.0,0.08178116542922845,0.042818442628596756,-1.15,0.003044993165244521,0.024822285581795223,0.0,0.0429066161159426,YLR134W YKL029C YGR087C YKL085W YNL104C YLR044C YGR043C YER081W YLR354C YIL074C YLR142W YOL126C 
sol_8#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],9.0,0.059226662886877966,0.7779897918181174,-1.15,0.04006759924299479,0.4510085749670246,0.0,0.7781374476617202,YLR134W YKL029C YGR087C YKL085W YNL104C YLR044C YJL121C YLR142W YOL126C 
sol_9#[iMM904_peroxisome#glucose_aerobic#NONE#criticals_glucose_aerobic#BASE#malate#SPEA2GK_K20#PFBA#BPCY],13.0,0.04248191002455339,0.3729254229752506,-1.15,0.013776160230176622,0.2161886510001453,0.0,0.3731223725480959,YKL029C YKL060C YKL085W YFR055W YER170W YNL277W YGR043C YLR354C YGR209C YER178W YDR453C YLR142W YOL126C 
